System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
CoRoT-20,TEP,97.72042,0.22692,14.66,12.51,0.0927,0.9,2455266.0006,0.0012,9.2431839,0.0000072,5880,90,90,+0.14,0.12,0.12,1.10,0.10,0.10,1.16,0.15,0.20,4.35,0.11,0.14,0.71,0.26,0.35,0.59,0.02,0.02,0.0891,0.0038,0.0038,4.14,0.36,0.30,1.00,0.18,0.21,102,42,35,3.9,2.1,2.4,1024,16,16,-999,-999,-999,-999,-999,-999
CoRoT-21,TEP,101.05246,-0.29914,16.00,13.81,0.198,0.5,2454399.0282,0.0009,2.72474,0.00014,6200,100,100,+0.0,0.1,0.1,1.39,0.09,0.09,1.95,0.21,0.21,3.7,0.1,0.1,0.181,0.060,0.060,0.0,-1,-1,0.0417,0.0011,0.0011,2.26,0.33,0.33,1.27,0.14,0.14,-1,-1,-1,1.03,0.36,0.36,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-22,TEP,280.66717,6.21925,13.94,11.99,0.187,0.2,2454598.42014,0.00075,9.75598,0.00011,5939,54,120,+0.170,0.070,0.12,1.099,0.049,0.049,1.136,0.038,0.090,4.361,0.065,0.029,0.729,0.19,0.071,0.0,0.78,0.0,0.0920,0.0014,0.0014,0.0,0.15,0.0,0.435,0.015,0.035,-1,-1,-1,-1,-1,-1,885,53,280,-999,-999,-999,-999,-999,-999
CoRoT-23,TEP,279.78258,4.35781,15.63,12.36,0.1620,0.45,2455308.939,0.001,3.6313,0.0001,5900,100,100,+0.05,0.1,0.1,1.122,0.092,0.072,1.74,0.26,0.16,4.008,0.076,0.107,0.214,0.064,0.066,0.16,0.02,0.02,0.04809,0.00128,0.00104,3.06,0.32,0.30,1.18,0.19,0.11,54,12,14,1.75,0.63,0.64,1710,110,80,-999,-999,-999,-999,-999,-999
CoRoT-24b,TEP,101.92254,-3.71931,13.2,12.92,0.119,0.024,2454789.611,0.006,5.1134,0.0006,4950,150,150,+0.30,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,-1,-1,0.056,0.002,0.002,0.0,0.018,0.0,0.33,0.04,0.04,-1,-1,-1,0.0,0.68,0.0,1070,140,140,-999,-999,-999,-999,-999,-999
CoRoT-24c,TEP,101.92254,-3.71931,13.2,12.92,0.20,0.013,2454795.380,0.027,11.7594,0.0063,4950,150,150,+0.30,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,0.0,-1,-1,0.098,0.003,0.003,0.088,0.035,0.035,0.44,0.04,0.04,-1,-1,-1,0.98,0.38,0.30,850,80,80,-999,-999,-999,-999,-999,-999
CoRoT-25,TEP,280.62971,6.51389,14.97,12.85,0.080,0.5,2454576.2156,0.0008,4.86069,0.00006,6040,90,90,-0.01,0.13,0.13,1.09,0.11,0.05,1.19,0.14,0.03,4.31,0.05,0.08,0.85,0.09,0.05,0.0,-1,-1,0.0578,0.0020,0.0009,0.37,0.04,0.04,1.08,0.3,0.10,5.7,1.7,1.9,0.12,0.12,0.05,1330,80,40,-999,-999,-999,-999,-999,-999
CoRoT-26,TEP,279.75054,6.96992,15.76,13.26,0.228,0.6,2454573.6299,0.0008,4.20474,0.00005,5590,100,100,+0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.18,0.09,3.99,0.05,0.08,0.573,0.006,0.04,0.0,-1,-1,0.0526,0.0010,0.0010,0.52,0.05,0.05,1.26,0.13,0.07,7.8,1.6,1.5,0.23,0.07,0.06,1600,80,70,-999,-999,-999,-999,-999,-999
CoRoT-27,TEP,278.49583,5.53847,15.54,12.98,0.115,1.0,2455748.684,0.001,3.57532,0.00006,5900,120,120,+0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.18,0.06,4.4,0.1,0.1,0.97,0.10,0.08,0.0,0.065,0.0,0.0476,0.0066,0.0066,10.39,0.55,0.55,1.007,0.044,0.044,-1,-1,-1,9.50,1.45,1.26,1500,130,130,-999,-999,-999,-999,-999,-999
CoRoT-28,TEP,278.68838,5.57381,13.78,11.03,0.238,0.3,2455755.8466,0.0029,5.20851,0.00038,5150,100,100,+0.15,0.10,0.10,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,0.047,0.055,0.038,0.0590,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5.0,3.6,0.52,0.20,0.20,-1,-1,-1,-999,-999,-999,-999,-999,-999
